"lratio"	"variance"	"var_hat_vk"	"n.spectra"	"n.na1"	"n.na2"	"p.value.rat"	"p.value.sample"	"p.value"	"is.significant"	"ac"	"r1"	"r2"	"class1"	"class2"	"zscore"
"299"	-0.138241494652838	0.117186560382991	Inf	1	0	0	0.343168546309047	NA	1	0	"A0A075B5K6, A0A0B4J1H6, P01629, P01630, P03976"	"126"	"127"	"126"	"127"	-0.901955457379584
"1058"	-0.29056498165209	0.117183511437109	Inf	1	0	0	0.197993767209886	NA	1	0	"A0A075B5K6, A0A0B4J1H6, P01629, P01630, P03976"	"126"	"128"	"126"	"128"	-1.98178351274366
"1817"	-0.300827503044093	0.117184106119703	Inf	1	0	0	0.189758629840623	NA	1	0	"A0A075B5K6, A0A0B4J1H6, P01629, P01630, P03976"	"126"	"129"	"126"	"129"	-2.05453498880403
"2576"	0.00805722650452356	0.117175493886691	Inf	1	0	0	0.49061061512154	NA	1	0	"A0A075B5K6, A0A0B4J1H6, P01629, P01630, P03976"	"126"	"130"	"126"	"130"	0.135162761758744
"3335"	0.0924319833751781	0.117176995033711	Inf	1	0	0	0.393571199274955	NA	1	0	"A0A075B5K6, A0A0B4J1H6, P01629, P01630, P03976"	"126"	"131"	"126"	"131"	0.733299210892836
"300"	-0.0130824208907336	0.118193263763526	Inf	1	0	0	0.484822612683133	NA	1	0	"A0A075B5K6, P03976"	"126"	"127"	"126"	"127"	-0.0146971501143008
"1059"	-0.0405942486346564	0.118117640684746	Inf	1	0	0	0.45298804601273	NA	1	0	"A0A075B5K6, P03976"	"126"	"128"	"126"	"128"	-0.209729735288624
"1818"	-0.171735641365433	0.118168346333711	Inf	1	0	0	0.308683471773934	NA	1	0	"A0A075B5K6, P03976"	"126"	"129"	"126"	"129"	-1.13939697098489
"2577"	0.0806601058535055	0.118112914833573	Inf	1	0	0	0.407221422166541	NA	1	0	"A0A075B5K6, P03976"	"126"	"130"	"126"	"130"	0.649847841293647
"3336"	0.235087060030481	0.118108838412566	Inf	1	0	0	0.246971956573982	NA	1	0	"A0A075B5K6, P03976"	"126"	"131"	"126"	"131"	1.74458747015692
"301"	-0.0118854051378354	0.0696508658474453	5.2953774656898e-16	2	0	0	0.482039682362891	NA	1	0	"A0A075B5K8, A0A075B5N0, A0A0B4J1I0, A0A0G2JDE5, A0A140T8M0, A0A140T8M9, A0A140T8N1, F6XWB2, P01631"	"126"	"127"	"126"	"127"	-0.00621145156474906
"1060"	-0.045674514836977	0.0696496347723889	3.529007569709e-19	2	0	0	0.431299341803415	NA	1	0	"A0A075B5K8, A0A075B5N0, A0A0B4J1I0, A0A0G2JDE5, A0A140T8M0, A0A140T8M9, A0A140T8N1, F6XWB2, P01631"	"126"	"128"	"126"	"128"	-0.245743971057863
"1819"	-0.0755394296679053	0.0696498729918825	6.46161064313726e-14	2	0	0	0.387351391111654	NA	1	0	"A0A075B5K8, A0A075B5N0, A0A0B4J1I0, A0A0G2JDE5, A0A140T8M0, A0A140T8M9, A0A140T8N1, F6XWB2, P01631"	"126"	"129"	"126"	"129"	-0.457457696503588
"2578"	0.509130210240556	0.241815337335306	6.12446720610763e-11	2	0	0	0.15025287812043	NA	1	0	"A0A075B5K8, A0A075B5N0, A0A0B4J1I0, A0A0G2JDE5, A0A140T8M0, A0A140T8M9, A0A140T8N1, F6XWB2, P01631"	"126"	"130"	"126"	"130"	3.6872916965816
"3337"	0.500365084213594	0.276746191775235	5.05611584642456e-11	2	0	0	0.170765697711731	NA	1	0	"A0A075B5K8, A0A075B5N0, A0A0B4J1I0, A0A0G2JDE5, A0A140T8M0, A0A140T8M9, A0A140T8N1, F6XWB2, P01631"	"126"	"131"	"126"	"131"	3.62515532366123
"215"	0.0981789439668304	0.0740789201651723	5.34012305220172e-09	2	0	0	0.359154133761141	NA	1	0	"A0A075B5L0, A0A075B5L1, A0A0G2JFY3, A0A140T8M1, P01643, P01644, P01645, P01647"	"126"	"127"	"126"	"127"	0.774039673195727
"974"	0.0717224878052704	0.0738812067785794	2.89099369562786e-08	2	0	0	0.395940435634609	NA	1	0	"A0A075B5L0, A0A075B5L1, A0A0G2JFY3, A0A140T8M1, P01643, P01644, P01645, P01647"	"126"	"128"	"126"	"128"	0.586488664670676
"1733"	-0.00742699331482114	0.0739296399596893	3.05378462838904e-14	2	0	0	0.489104183009043	NA	1	0	"A0A075B5L0, A0A075B5L1, A0A0G2JFY3, A0A140T8M1, P01643, P01644, P01645, P01647"	"126"	"129"	"126"	"129"	0.0253944305201417
"2492"	0.262761872325522	0.0738391542954934	1.95416524790151e-07	2	0	0	0.166776181593177	NA	1	0	"A0A075B5L0, A0A075B5L1, A0A0G2JFY3, A0A140T8M1, P01643, P01644, P01645, P01647"	"126"	"130"	"126"	"130"	1.94077546015
"3251"	0.171347365454227	0.0740249494909087	1.52559527300487e-10	2	0	0	0.264419500310973	NA	1	0	"A0A075B5L0, A0A075B5L1, A0A0G2JFY3, A0A140T8M1, P01643, P01644, P01645, P01647"	"126"	"131"	"126"	"131"	1.2927339064047
"216"	-0.0401869422818328	0.0697440489558768	9.01253160433921e-12	2	0	0	0.439526103539592	NA	1	0	"A0A075B5L5, A0A0G2JGE7, P01675, P01676, P01677, P01678, P01679"	"126"	"127"	"126"	"127"	-0.206842322220742
"975"	-0.00764330922426754	0.0697350252532239	7.21890999618276e-15	2	0	0	0.488454695807651	NA	1	0	"A0A075B5L5, A0A0G2JGE7, P01675, P01676, P01677, P01678, P01679"	"126"	"128"	"126"	"128"	0.0238609573017734
"1734"	-0.0210406068239772	0.0697353981624721	1.9674822590523e-14	2	0	0	0.468247175181183	NA	1	0	"A0A075B5L5, A0A0G2JGE7, P01675, P01676, P01677, P01678, P01679"	"126"	"129"	"126"	"129"	-0.0711130883902041
"2493"	-0.140534171654463	0.0697421118884028	1.34675709902016e-09	2	0	0	0.297310917161414	NA	1	0	"A0A075B5L5, A0A0G2JGE7, P01675, P01676, P01677, P01678, P01679"	"126"	"130"	"126"	"130"	-0.918208347836686
"3252"	-0.0976345615794612	0.0697485159511067	3.88665529748887e-09	2	0	0	0.355807251964639	NA	1	0	"A0A075B5L5, A0A0G2JGE7, P01675, P01676, P01677, P01678, P01679"	"126"	"131"	"126"	"131"	-0.614091081118696
"302"	0.0106956615971738	0.0701482642035923	1.52995662862449e-14	2	0	0	0.483893868995381	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"127"	"126"	"127"	0.153866746885574
"1061"	-0.0463017116538128	0.0701197551347202	2.95541739877689e-13	2	0	0	0.430596975710755	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"128"	"126"	"128"	-0.25019019752232
"1820"	-0.0300735064845617	0.0701169993889603	2.1066077489084e-15	2	0	0	0.454788424733894	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"129"	"126"	"129"	-0.135147720651712
"2579"	0.0662339284863525	0.0701184745249386	1.76737328303723e-13	2	0	0	0.401243741842672	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"130"	"126"	"130"	0.547580020620749
"3338"	0.127509176403274	0.0701326123179259	4.76852612692097e-12	2	0	0	0.315086442571985	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"131"	"126"	"131"	0.981963011081087
"303"	0.0990834638463332	0.125586688171548	Inf	1	0	0	0.389894127715856	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"127"	"126"	"127"	0.780451855333642
"1062"	-0.0580792203503799	0.125446060636067	Inf	1	0	0	0.434873238813273	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"128"	"126"	"128"	-0.333681486773793
"1821"	-0.00902655106276384	0.125343210432903	Inf	1	0	0	0.48982968387634	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"129"	"126"	"129"	0.0140550936494462
"2580"	0.295061878242747	0.12509312261851	Inf	1	0	0	0.202069968214541	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"130"	"126"	"130"	2.16975165590907
"3339"	0.306275278272181	0.125240469477809	Inf	1	0	0	0.193397226435993	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"131"	"126"	"131"	2.2492439534289
"304"	-0.0797560599330396	0.117328456525986	Inf	1	0	0	0.407941905006327	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"127"	"126"	"127"	-0.487349578242165
"1063"	-0.168108885568672	0.117313889426241	Inf	1	0	0	0.311779399211075	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"128"	"126"	"128"	-1.11368673590265
"1822"	-0.139557799206881	0.117311067271832	Inf	1	0	0	0.341835208056913	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"129"	"126"	"129"	-0.911286799609601
"2581"	-0.234343884713681	0.1173400791657	Inf	1	0	0	0.24695061710571	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"130"	"126"	"130"	-1.58322962605555
"3340"	-0.225987841070676	0.117379500745436	Inf	1	0	0	0.254751232594213	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"131"	"126"	"131"	-1.52399325656772
"305"	-0.00082498265083597	0.117651629890141	Inf	1	0	0	0.49904047678066	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"127"	"126"	"127"	0.0721963812713019
"1064"	-0.0297968319386666	0.117615666586629	Inf	1	0	0	0.465382041869601	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"128"	"126"	"128"	-0.133186362342838
"1823"	-0.0444550015097009	0.117617671028945	Inf	1	0	0	0.448432084317973	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"129"	"126"	"129"	-0.237098786190939
"2582"	0.135569407759955	0.117608032144061	Inf	1	0	0	0.346305244394273	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"130"	"126"	"130"	1.03910235395676
"3341"	0.322466642321527	0.117603311032538	Inf	1	0	0	0.17352708403781	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"131"	"126"	"131"	2.3640252619423
"306"	0.0333102244900717	0.0717639094846903	7.20141133949545e-08	2	0	0	0.450521491511116	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"127"	"126"	"127"	0.31418240110682
"1065"	-0.151726452135743	0.0718213889375827	7.1033247895035e-08	2	0	0	0.285644627086535	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"128"	"126"	"128"	-0.997550927929074
"1824"	-0.0751271949340842	0.118383808646063	Inf	1	0	0	0.413578636182601	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"129"	"126"	"129"	-0.45453534592099
